ID базы,GEDCOM ID,Пол,Семьи как супруг,Семьи как ребёнок
12277,I504734,F,F501276,
12279,I504736,F,F501277,
12281,I504738,F,F501278,
12284,I504741,F,F501279,
12286,I504743,F,F501280,
12288,I504745,F,F501281,
12291,I504748,F,F501282,
12293,I504750,F,F501283,
12296,I504753,F,,F501284
12298,I504755,M,,F501284
12306,I504763,F,,F501285
12319,I504776,M,,F501286
12320,I504777,M,F501286,
12339,I504796,F,,F501270
12340,I504797,F,,F501270
12437,I504894,M,,F501303
12446,I504903,F,,F501305
12488,I504945,F,F501311,
12490,I504947,F,F501312,
12492,I504949,F,F501313,
12503,I504960,F,F501317,
12542,I504999,F,,F501326
12559,I505017,F,F501330,
12560,I505018,F,F6,
12568,I505026,M,F501333,
12570,I505028,M,F501334,
12578,I505036,M,,F5
12610,I505068,F,,F500485
12728,I505194,F,F501363,
12730,I505196,F,F501364,
12732,I505198,F,F501365,
12734,I505200,F,F501366,
12791,I505257,M,,F501374
12792,I505258,F,,F501374
12827,I505293,M,,F501381
12828,I505294,F,,F501381
12870,I505336,F,F501391,
12880,I505346,M,,F501394
12881,I505347,M,,F501394
12892,I505358,M,,F501177
12893,I505359,M,,F501177
12913,I505387,F,,F501379
12944,I505418,M,,F501413
12946,I505420,F,F501414,
12978,I505452,M,F501423,
12979,I505453,F,,F501423
12980,I505454,F,,F501423
12995,I505469,F,F501427,
13006,I505482,F,F501431,
13019,I505495,M,,F501430
13020,I505496,M,,F501433
13043,I505519,F,,F501436
13044,I505520,F,,F501436
13045,I505521,M,,F501436
13046,I505522,M,,F501436
13047,I505523,F,,F501436
13048,I505524,M,,F501436
13049,I505525,M,,F501428
13050,I505526,M,,F501428
13051,I505527,M,,F501428
13052,I505528,M,,F501428
13082,I505558,M,,F501438
13083,I505559,M,,F501438
13122,I505598,M,,F501445
13124,I505600,F,,F501434
13139,I505615,F,,F501447
13140,I505616,F,,F501447
13145,I505621,M,F501449,F501457
13183,I505659,F,F501458,
13185,I505661,F,F501459,
13205,I505681,F,F501465,
13207,I505690,F,F501472,
13248,I505731,F,F501478,
13302,I505785,F,F501483,
13322,I505805,F,F501485,
13345,I505828,F,F501491,
13411,I505902,M,F501502,
13432,I505923,F,F501504,
13434,I505925,F,F501505,
13436,I505927,F,F501506,
13438,I505929,F,F501507,
13440,I505931,F,F501508,
13541,I506040,F,,F501530
13619,I506122,M,F501545,
13637,I506140,F,F501547,
13647,I506150,F,F501549,
13648,I506151,M,F501550,
13649,I506152,F,F501550,
13650,I506154,M,,F501551
13651,I506155,F,F501551,
13652,I506156,M,,F7
13657,I506161,M,,F501548
13658,I506162,M,,F501548
13687,I506191,F,,F501440
13688,I506192,M,,F501556
13753,I506258,F,F501574,
13832,I506337,M,,F501589
13836,I506341,F,,F501589
13837,I506342,M,,F501589
13853,I506358,F,F501591,
13854,I506359,M,,F501592
13855,I506360,F,F501592,
13857,I506362,F,F501593,
13859,I506364,F,F501594,
13861,I506366,F,F501595,
13863,I506368,F,F501596,
13865,I506370,F,F501597,
13875,I506380,F,F501602,
13876,I506381,F,F501603,
13877,I506382,F,F501604,
13882,I506387,F,F501605,
14163,I506676,M,,F501659
14164,I506677,F,,F501659
14172,I506685,F,,F501565
14193,I506706,F,,F501668
14194,I506707,M,,F501668
14195,I506708,M,,F501668
14196,I506709,F,,F501668
14197,I506710,F,,F501668
14202,I506715,F,,F501659
14205,I506718,F,,F501670
14206,I506719,F,,F501670
14207,I506720,M,,F501670
14216,I506729,M,F501672,
14251,I506764,M,F501679,
14252,I506765,F,F501679,
14253,I506766,M,,F501679
14254,I506767,F,,F501679
14255,I506768,M,,F501679
14256,I506769,M,,F501679
14257,I506770,M,,F501679
14258,I506771,M,,F501679
14259,I506772,M,,F501679
14260,I506773,M,,F501679
14261,I506774,F,,F501679
14262,I506775,F,,F501679
14291,I506804,F,F501685,
14293,I506806,F,F501686,
14303,I506816,M,F501688,
14305,I506818,M,F501689,
14351,I506864,M,F501698,
14353,I506866,M,F501699,
14355,I506868,M,F501700,
14394,I506907,F,F501716,
14498,I507019,M,,F501665
14508,I507029,F,F501745,
14510,I507031,F,F501746,
14512,I507033,F,F501747,
14514,I507035,F,F501748,
14516,I507037,F,F501749,
14518,I507039,F,F501750,
14585,I507106,M,F501764,
14587,I507108,M,,F501764
14589,I507110,F,F501765,
14591,I507112,F,F501766,
14593,I507114,F,F501767,
14595,I507116,F,F501768,
14597,I507118,F,F501769,
14645,I507166,F,F501783,
14651,I507172,F,,F501785
14772,I507301,M,F501816,
14773,I507302,F,F501816,
14841,I507370,F,,F501830
14842,I507371,F,,F501830
14847,I507376,M,,F501829
14884,I507811,M,F501945,
14886,I507813,M,F501946,
14888,I507815,M,F501947,
14890,I507817,M,F501948,
15072,I507999,M,,F501983
15073,I508000,M,F501983,
15074,I508001,M,,F501984
15075,I508002,M,F501984,
15076,I508003,M,,F501985
15077,I508004,M,F501985,
15093,I508020,F,,F501987
15094,I508021,M,,F501987
15100,I508027,F,F501989,
15102,I508029,F,F501990,
15104,I508031,F,F501991,
15106,I508033,F,F501992,
15108,I508035,F,F501993,
15110,I508037,F,F501994,
15145,I508073,F,F502011,
15147,I508075,F,F502012,
15208,I508136,F,,F502023
15237,I508165,F,F502029,
15239,I508167,F,F502030,
15241,I508169,F,F502031,
15245,I508173,M,,F502032
15304,I508232,M,F502045,
15305,I508233,F,F502045,
15331,I508259,F,F502050,
15338,I508266,F,F502052,
15340,I508268,F,F502053,
15342,I508270,F,F502054,
15344,I508272,F,F502055,
